0E,0541,0684,065F,0647,066A
0E,0542,0685,0660,0648,066A
0E,0543,0683,065F,0647,0669
0E,0544,0681,065E,0646,0667
0E,0545,0682,065D,0645,0667
0E,0546,0684,065F,0648,066A
0E,0547,0684,0660,0648,066A
0E,0548,0683,065F,0646,0669
0E,0549,0682,065D,0645,0668
0E,054A,0682,065D,0646,0668
0E,054B,0684,0660,0648,066A
0E,054C,0685,0660,0648,066A
0E,054D,0683,065F,0647,0669
0E,054E,0681,065D,0645,0667
0E,054F,0682,065D,0645,0668
0E,0550,0684,0660,0648,066A
0E,0551,0684,0660,0648,066A
0E,0552,0682,065E,0647,0669
0E,0553,0681,065D,0645,0667
0E,0554,0681,065E,0646,0668
0E,0555,0685,065F,0648,066A
0E,0556,0685,0660,0648,066A
0E,0557,0683,065F,0647,0669
0E,0558,0681,065E,0645,0667
0E,0559,0682,065E,0646,0668
0E,055A,0684,065F,0648,066B
0E,055B,0685,0660,0648,066A
0E,055C,0683,065E,0646,0669
0E,055D,0681,065D,0645,0667
0E,055E,0682,065E,0646,0668
0E,055F,0684,0660,0648,066A
0E,0560,0684,0660,0647,066A
0E,0561,0683,065E,0647,0669
0E,0562,0681,065D,0645,0667
0E,0563,0682,065E,0646,0669
0E,0564,0684,0660,0648,066A
0E,0565,0685,0660,0648,066A
0E,0566,0683,065E,0647,0669
0E,0567,0681,065D,0645,0667
0E,0568,0683,065E,0646,0668
0E,0569,0684,0660,0648,066A
0E,056A,0684,0660,0648,066A
0E,056B,0683,065F,0647,0669
0E,056C,0681,065E,0645,0667
0E,056D,0682,065E,0647,0668
0E,056E,0685,0660,0648,066B
0E,056F,0685,0660,0648,066A
0E,0570,0683,065E,0647,0669
0E,0571,0681,065E,0645,0667
0E,0572,0683,065E,0646,0668
0E,0573,0684,0660,0648,066A
0E,0574,0684,0660,0648,066A
0E,0575,0683,065F,0646,0668
0E,0576,0681,065D,0645,0667
0E,0577,0683,065F,0646,0669
0E,0578,0684,0660,0648,066A
0E,0579,0684,0660,0647,0669
0E,057A,0682,065E,0647,0669
0E,057B,0681,065D,0645,0667
0E,057C,0683,065E,0646,0669
0E,057D,0684,065F,0648,066A
0E,057E,0683,0660,0648,066A
0E,057F,0682,065F,0646,0668
0E,0580,0681,065D,0645,0667
0E,0581,0683,065E,0647,0669
0E,0582,0685,0660,0648,066B
0E,0583,0684,065F,0647,066A
0E,0584,0682,065E,0646,0668
0E,0585,0681,065E,0645,0667
0E,0586,0683,065F,0647,0669
0E,0587,0684,065F,0648,066B
0E,0588,0684,065F,0647,066A
0E,0589,0683,065E,0645,0668
0E,058A,0681,065D,0645,0667
0E,058B,0683,065F,0647,0669
0E,058C,0684,0661,0648,066A
0E,058D,0684,065F,0647,0669
0E,058E,0681,065E,0646,0668
0E,058F,0681,065E,0645,0667
0E,0590,0683,065E,0647,066A
0E,0591,0684,0660,0649,066B
0E,0592,0684,0660,0647,066A
0E,0593,0682,065E,0647,0668
0E,0594,0681,065D,0645,0667
0E,0595,0683,065F,0647,066A
0E,0596,0685,0661,0648,066A
0E,0597,0684,0660,0647,066A
0E,0598,0682,065E,0646,0668
0E,0599,0682,065E,0646,0667
0E,059A,0683,065F,0648,0669
0E,059B,0685,0660,0648,066B
0E,059C,0684,065F,0647,0669
0E,059D,0683,065E,0646,0668
0E,059E,0681,065D,0645,0667
0E,059F,0683,065F,0648,0669
0E,05A0,0685,0660,0648,066A
0E,05A1,0684,065F,0647,0669
0E,05A2,0682,065E,0646,0668
0E,05A3,0682,065D,0645,0667
0E,05A4,0684,065F,0647,0669
0E,05A5,0685,0660,0648,066B
0E,05A6,0684,0660,0647,0669
0E,05A7,0682,065E,0646,0668
0E,05A8,0681,065D,0646,0667
0E,05A9,0684,065F,0647,066A
0E,05AA,0685,0660,0648,066B
0E,05AB,0684,065F,0647,0669
0E,05AC,0682,065E,0646,0668
0E,05AD,0681,065D,0644,0667
